beta,omega,steady_time
0.12244897959183673,1.7857142857142858,149.99
0.12244897959183673,1.8775510204081634,149.99
0.12244897959183673,1.969387755102041,58.75
0.12244897959183673,2.0612244897959187,149.99
0.12244897959183673,2.1530612244897958,149.99
0.12244897959183673,2.2448979591836737,149.99
0.12244897959183673,2.336734693877551,149.99
0.12244897959183673,2.428571428571429,127.18
0.12244897959183673,2.5204081632653064,149.99
0.12244897959183673,2.612244897959184,149.99
0.12244897959183673,2.7040816326530615,149.99
0.12244897959183673,2.795918367346939,149.99
0.12244897959183673,2.8877551020408165,149.99
0.12244897959183673,2.979591836734694,107.88
0.12244897959183673,3.0714285714285716,41.97
0.12244897959183673,3.163265306122449,38.61
0.12244897959183673,3.2551020408163267,35.300000000000004
0.12244897959183673,3.3469387755102042,31.19
0.12244897959183673,3.438775510204082,33.19
0.12244897959183673,3.5306122448979593,31.150000000000002
0.12244897959183673,3.622448979591837,31.48
0.12244897959183673,3.7142857142857144,31.720000000000002
0.12244897959183673,3.806122448979592,34.09
0.12244897959183673,3.8979591836734695,36.01
0.12244897959183673,3.989795918367347,33.83
0.12244897959183673,4.081632653061225,31.43
0.12244897959183673,4.173469387755102,31.150000000000002
0.12244897959183673,4.26530612244898,31.400000000000002
0.12244897959183673,4.357142857142858,31.39
0.12244897959183673,4.448979591836735,31.43
0.12244897959183673,4.540816326530613,31.46
0.12244897959183673,4.63265306122449,31.54
0.12244897959183673,4.724489795918368,31.54
0.12244897959183673,4.816326530612245,31.53
0.12244897959183673,4.908163265306123,31.490000000000002
0.12244897959183673,5.0,31.46
0.15306122448979592,0.5,149.99
0.15306122448979592,0.5918367346938775,143.38
0.15306122448979592,0.6836734693877551,149.99
0.15306122448979592,0.7755102040816326,49.410000000000004
0.15306122448979592,0.8673469387755102,73.54
0.15306122448979592,0.9591836734693877,53.18
0.15306122448979592,1.0510204081632653,56.64
0.15306122448979592,1.1428571428571428,55.86
0.15306122448979592,1.2346938775510203,51.5
0.15306122448979592,1.3265306122448979,66.36
0.15306122448979592,1.4183673469387754,57.56
0.15306122448979592,1.5102040816326532,149.99
0.15306122448979592,1.6020408163265307,149.99
0.15306122448979592,1.6938775510204083,149.99
0.15306122448979592,1.7857142857142858,149.99
0.15306122448979592,1.8775510204081634,17.93
