delta,beta,steady_time
0.10816326530612246,0.8061224489795917,70.5
0.10816326530612246,0.8265306122448979,69.95
0.10816326530612246,0.846938775510204,69.55
0.10816326530612246,0.8673469387755102,68.75
0.10816326530612246,0.8877551020408163,68.4
0.10816326530612246,0.9081632653061225,68.10000000000001
0.10816326530612246,0.9285714285714286,67.75
0.10816326530612246,0.9489795918367346,67.0
0.10816326530612246,0.9693877551020408,66.65
0.10816326530612246,0.9897959183673469,66.35000000000001
0.10816326530612246,1.010204081632653,65.65
0.10816326530612246,1.030612244897959,65.3
0.10816326530612246,1.0510204081632653,65.05
0.10816326530612246,1.0714285714285714,73.5
0.10816326530612246,1.0918367346938775,73.25
0.10816326530612246,1.1122448979591835,73.0
0.10816326530612246,1.1326530612244898,72.7
0.10816326530612246,1.1530612244897958,72.05
0.10816326530612246,1.1734693877551021,71.8
0.10816326530612246,1.193877551020408,71.55
0.10816326530612246,1.2142857142857142,71.3
0.10816326530612246,1.2346938775510203,70.65
0.10816326530612246,1.2551020408163265,70.35000000000001
0.10816326530612246,1.2755102040816326,70.10000000000001
0.10816326530612246,1.2959183673469385,69.85000000000001
0.10816326530612246,1.316326530612245,69.60000000000001
0.10816326530612246,1.3367346938775508,68.95
0.10816326530612246,1.3571428571428572,68.75
0.10816326530612246,1.3775510204081631,68.55
0.10816326530612246,1.3979591836734693,68.35000000000001
0.10816326530612246,1.4183673469387754,68.15
0.10816326530612246,1.4387755102040816,68.0
0.10816326530612246,1.4591836734693877,67.8
0.10816326530612246,1.4795918367346939,67.3
0.10816326530612246,1.5,67.15
0.1163265306122449,0.5,45.25
0.1163265306122449,0.5204081632653061,46.650000000000006
0.1163265306122449,0.5408163265306123,48.1
0.1163265306122449,0.5612244897959183,49.300000000000004
0.1163265306122449,0.5816326530612245,75.7
0.1163265306122449,0.6020408163265306,81.05000000000001
0.1163265306122449,0.6224489795918368,78.85000000000001
0.1163265306122449,0.6428571428571428,77.30000000000001
0.1163265306122449,0.6632653061224489,76.05
0.1163265306122449,0.6836734693877551,74.85000000000001
0.1163265306122449,0.7040816326530612,73.75
0.1163265306122449,0.7244897959183674,73.15
0.1163265306122449,0.7448979591836735,72.10000000000001
0.1163265306122449,0.7653061224489796,71.60000000000001
0.1163265306122449,0.7857142857142857,71.10000000000001
0.1163265306122449,0.8061224489795917,70.25
0.1163265306122449,0.8265306122448979,69.75
0.1163265306122449,0.846938775510204,68.9
0.1163265306122449,0.8673469387755102,68.5
0.1163265306122449,0.8877551020408163,68.15
0.1163265306122449,0.9081632653061225,67.45
0.1163265306122449,0.9285714285714286,67.10000000000001
0.1163265306122449,0.9489795918367346,66.75
0.1163265306122449,0.9693877551020408,66.4
0.1163265306122449,0.9897959183673469,65.65
0.1163265306122449,1.010204081632653,65.35000000000001
0.1163265306122449,1.030612244897959,65.05
0.1163265306122449,1.0510204081632653,64.75
0.1163265306122449,1.0714285714285714,64.10000000000001
0.1163265306122449,1.0918367346938775,63.85
0.1163265306122449,1.1122448979591835,63.6
0.1163265306122449,1.1326530612244898,63.400000000000006
0.1163265306122449,1.1530612244897958,63.150000000000006
0.1163265306122449,1.1734693877551021,62.6
0.1163265306122449,1.193877551020408,62.300000000000004
0.1163265306122449,1.2142857142857142,62.050000000000004
0.1163265306122449,1.2346938775510203,61.85
0.1163265306122449,1.2551020408163265,61.650000000000006
0.1163265306122449,1.2755102040816326,61.050000000000004
0.1163265306122449,1.2959183673469385,60.800000000000004
0.1163265306122449,1.316326530612245,60.550000000000004
0.1163265306122449,1.3367346938775508,60.35
0.1163265306122449,1.3571428571428572,60.150000000000006
0.1163265306122449,1.3775510204081631,60.0
0.1163265306122449,1.3979591836734693,59.5
0.1163265306122449,1.4183673469387754,59.300000000000004
0.1163265306122449,1.4387755102040816,59.150000000000006
0.1163265306122449,1.4591836734693877,59.0
0.1163265306122449,1.4795918367346939,58.900000000000006
0.1163265306122449,1.5,66.75
0.12448979591836735,0.5,43.25
0.12448979591836735,0.5204081632653061,44.75
0.12448979591836735,0.5408163265306123,46.0
0.12448979591836735,0.5612244897959183,47.2
0.12448979591836735,0.5816326530612245,53.0
0.12448979591836735,0.6020408163265306,71.25
0.12448979591836735,0.6224489795918368,68.45
0.12448979591836735,0.6428571428571428,66.8
