delta,alpha,steady_time
0.0510204081632653,-0.2142857142857143,149.99
0.0510204081632653,-0.17346938775510207,15.98
0.0510204081632653,-0.13265306122448983,149.63
0.0510204081632653,-0.0918367346938776,149.99
0.0510204081632653,-0.05102040816326536,93.79
0.0510204081632653,-0.010204081632653073,76.44
0.0510204081632653,0.030612244897959107,149.99
0.0510204081632653,0.0714285714285714,149.99
0.0510204081632653,0.11224489795918358,149.99
0.0510204081632653,0.15306122448979587,81.3
0.0510204081632653,0.19387755102040816,149.99
0.0510204081632653,0.23469387755102034,109.11
0.0510204081632653,0.2755102040816326,83.63
0.0510204081632653,0.3163265306122448,145.79
0.0510204081632653,0.3571428571428571,143.15
0.0510204081632653,0.3979591836734693,142.41
0.0510204081632653,0.43877551020408156,136.05
0.0510204081632653,0.47959183673469385,135.82
0.0510204081632653,0.5204081632653061,140.67000000000002
0.0510204081632653,0.5612244897959182,140.48
0.0510204081632653,0.6020408163265305,135.2
0.0510204081632653,0.6428571428571428,134.12
0.0510204081632653,0.6836734693877551,134.09
0.0510204081632653,0.7244897959183672,134.22
0.0510204081632653,0.7653061224489794,134.31
0.0510204081632653,0.8061224489795917,138.89000000000001
0.0510204081632653,0.846938775510204,138.83
0.0510204081632653,0.8877551020408163,138.71
0.0510204081632653,0.9285714285714284,138.46
0.0510204081632653,0.9693877551020407,133.12
0.0510204081632653,1.010204081632653,132.81
0.0510204081632653,1.0510204081632653,132.62
0.0510204081632653,1.0918367346938773,132.52
0.0510204081632653,1.1326530612244896,132.46
0.0510204081632653,1.173469387755102,132.44
0.0510204081632653,1.2142857142857142,132.43
0.0510204081632653,1.2551020408163265,132.43
0.0510204081632653,1.2959183673469385,132.43
0.0510204081632653,1.3367346938775508,132.43
0.0510204081632653,1.3775510204081631,132.41
0.0510204081632653,1.4183673469387754,132.39000000000001
0.0510204081632653,1.4591836734693877,132.35
0.0510204081632653,1.5,132.31
0.061224489795918366,-0.5,32.03
0.061224489795918366,-0.45918367346938777,127.83
0.061224489795918366,-0.41836734693877553,149.99
0.061224489795918366,-0.37755102040816324,128.03
0.061224489795918366,-0.33673469387755106,132.72
0.061224489795918366,-0.29591836734693877,149.99
0.061224489795918366,-0.25510204081632654,149.99
0.061224489795918366,-0.2142857142857143,44.37
0.061224489795918366,-0.17346938775510207,132.52
0.061224489795918366,-0.13265306122448983,127.53
0.061224489795918366,-0.0918367346938776,134.33
0.061224489795918366,-0.05102040816326536,122.31
0.061224489795918366,-0.010204081632653073,69.45
0.061224489795918366,0.030612244897959107,120.17
0.061224489795918366,0.0714285714285714,137.37
0.061224489795918366,0.11224489795918358,149.99
0.061224489795918366,0.15306122448979587,74.87
0.061224489795918366,0.19387755102040816,109.57000000000001
0.061224489795918366,0.23469387755102034,70.5
