alpha,omega,steady_time
-0.41836734693877553,4.540816326530613,10.620000000000001
-0.41836734693877553,4.63265306122449,10.65
-0.41836734693877553,4.724489795918368,10.67
-0.41836734693877553,4.816326530612245,2.59
-0.41836734693877553,4.908163265306123,2.5500000000000003
-0.41836734693877553,5.0,2.5100000000000002
-0.37755102040816324,0.5,62.07
-0.37755102040816324,0.5918367346938775,34.47
-0.37755102040816324,0.6836734693877551,149.99
-0.37755102040816324,0.7755102040816326,28.810000000000002
-0.37755102040816324,0.8673469387755102,31.62
-0.37755102040816324,0.9591836734693877,48.050000000000004
-0.37755102040816324,1.0510204081632653,37.04
-0.37755102040816324,1.1428571428571428,49.72
-0.37755102040816324,1.2346938775510203,44.13
-0.37755102040816324,1.3265306122448979,37.72
-0.37755102040816324,1.4183673469387754,46.03
-0.37755102040816324,1.5102040816326532,42.84
-0.37755102040816324,1.6020408163265307,40.57
-0.37755102040816324,1.6938775510204083,43.31
-0.37755102040816324,1.7857142857142858,34.21
-0.37755102040816324,1.8775510204081634,29.95
-0.37755102040816324,1.969387755102041,149.99
-0.37755102040816324,2.0612244897959187,43.5
-0.37755102040816324,2.1530612244897958,78.4
-0.37755102040816324,2.2448979591836737,9.73
-0.37755102040816324,2.336734693877551,13.09
-0.37755102040816324,2.428571428571429,6.04
-0.37755102040816324,2.5204081632653064,4.97
-0.37755102040816324,2.612244897959184,4.8100000000000005
-0.37755102040816324,2.7040816326530615,4.63
-0.37755102040816324,2.795918367346939,7.6000000000000005
-0.37755102040816324,2.8877551020408165,7.54
-0.37755102040816324,2.979591836734694,7.5
-0.37755102040816324,3.0714285714285716,7.51
-0.37755102040816324,3.163265306122449,7.5600000000000005
-0.37755102040816324,3.2551020408163267,7.63
-0.37755102040816324,3.3469387755102042,10.92
-0.37755102040816324,3.438775510204082,10.88
-0.37755102040816324,3.5306122448979593,10.86
-0.37755102040816324,3.622448979591837,10.86
-0.37755102040816324,3.7142857142857144,7.67
-0.37755102040816324,3.806122448979592,7.63
-0.37755102040816324,3.8979591836734695,7.63
-0.37755102040816324,3.989795918367347,7.65
-0.37755102040816324,4.081632653061225,10.91
-0.37755102040816324,4.173469387755102,10.92
-0.37755102040816324,4.26530612244898,10.91
-0.37755102040816324,4.357142857142858,7.78
-0.37755102040816324,4.448979591836735,7.78
-0.37755102040816324,4.540816326530613,2.75
-0.37755102040816324,4.63265306122449,2.71
-0.37755102040816324,4.724489795918368,2.65
-0.37755102040816324,4.816326530612245,2.59
-0.37755102040816324,4.908163265306123,2.5500000000000003
-0.37755102040816324,5.0,2.5100000000000002
-0.33673469387755106,0.5,61.32
-0.33673469387755106,0.5918367346938775,34.6
-0.33673469387755106,0.6836734693877551,149.99
-0.33673469387755106,0.7755102040816326,28.34
-0.33673469387755106,0.8673469387755102,31.59
-0.33673469387755106,0.9591836734693877,33.96
-0.33673469387755106,1.0510204081632653,36.97
-0.33673469387755106,1.1428571428571428,45.27
-0.33673469387755106,1.2346938775510203,47.33
-0.33673469387755106,1.3265306122448979,37.63
-0.33673469387755106,1.4183673469387754,45.9
-0.33673469387755106,1.5102040816326532,42.62
-0.33673469387755106,1.6020408163265307,40.37
-0.33673469387755106,1.6938775510204083,43.13
-0.33673469387755106,1.7857142857142858,49.61
-0.33673469387755106,1.8775510204081634,42.62
-0.33673469387755106,1.969387755102041,149.99
-0.33673469387755106,2.0612244897959187,39.94
-0.33673469387755106,2.1530612244897958,74.74
-0.33673469387755106,2.2448979591836737,16.23
-0.33673469387755106,2.336734693877551,10.36
-0.33673469387755106,2.428571428571429,7.58
-0.33673469387755106,2.5204081632653064,5.25
-0.33673469387755106,2.612244897959184,4.8100000000000005
-0.33673469387755106,2.7040816326530615,4.63
-0.33673469387755106,2.795918367346939,4.49
-0.33673469387755106,2.8877551020408165,7.83
-0.33673469387755106,2.979591836734694,7.83
-0.33673469387755106,3.0714285714285716,7.84
-0.33673469387755106,3.163265306122449,7.86
-0.33673469387755106,3.2551020408163267,7.88
-0.33673469387755106,3.3469387755102042,7.890000000000001
-0.33673469387755106,3.438775510204082,7.87
-0.33673469387755106,3.5306122448979593,7.84
-0.33673469387755106,3.622448979591837,7.8100000000000005
-0.33673469387755106,3.7142857142857144,7.8100000000000005
-0.33673469387755106,3.806122448979592,7.84
-0.33673469387755106,3.8979591836734695,7.88
-0.33673469387755106,3.989795918367347,7.92
-0.33673469387755106,4.081632653061225,7.96
-0.33673469387755106,4.173469387755102,7.97
-0.33673469387755106,4.26530612244898,2.93
-0.33673469387755106,4.357142857142858,2.87
-0.33673469387755106,4.448979591836735,2.81
-0.33673469387755106,4.540816326530613,2.75
-0.33673469387755106,4.63265306122449,2.71
-0.33673469387755106,4.724489795918368,2.65
-0.33673469387755106,4.816326530612245,2.59
-0.33673469387755106,4.908163265306123,2.5500000000000003
-0.33673469387755106,5.0,2.5100000000000002
-0.29591836734693877,0.5,60.95
-0.29591836734693877,0.5918367346938775,34.730000000000004
-0.29591836734693877,0.6836734693877551,149.99
-0.29591836734693877,0.7755102040816326,27.68
-0.29591836734693877,0.8673469387755102,30.740000000000002
-0.29591836734693877,0.9591836734693877,33.34
-0.29591836734693877,1.0510204081632653,37.01
-0.29591836734693877,1.1428571428571428,42.11
-0.29591836734693877,1.2346938775510203,47.62
-0.29591836734693877,1.3265306122448979,37.550000000000004
-0.29591836734693877,1.4183673469387754,45.730000000000004
-0.29591836734693877,1.5102040816326532,42.38
-0.29591836734693877,1.6020408163265307,40.22
-0.29591836734693877,1.6938775510204083,42.58
-0.29591836734693877,1.7857142857142858,47.44
-0.29591836734693877,1.8775510204081634,30.34
-0.29591836734693877,1.969387755102041,22.47
-0.29591836734693877,2.0612244897959187,82.06
-0.29591836734693877,2.1530612244897958,38.01
-0.29591836734693877,2.2448979591836737,14.530000000000001
-0.29591836734693877,2.336734693877551,9.4
-0.29591836734693877,2.428571428571429,10.540000000000001
-0.29591836734693877,2.5204081632653064,6.69
-0.29591836734693877,2.612244897959184,4.8100000000000005
-0.29591836734693877,2.7040816326530615,4.63
-0.29591836734693877,2.795918367346939,4.49
-0.29591836734693877,2.8877551020408165,4.3500000000000005
-0.29591836734693877,2.979591836734694,4.21
-0.29591836734693877,3.0714285714285716,4.09
-0.29591836734693877,3.163265306122449,3.97
-0.29591836734693877,3.2551020408163267,8.120000000000001
-0.29591836734693877,3.3469387755102042,8.11
-0.29591836734693877,3.438775510204082,8.09
-0.29591836734693877,3.5306122448979593,8.09
-0.29591836734693877,3.622448979591837,8.09
-0.29591836734693877,3.7142857142857144,8.13
-0.29591836734693877,3.806122448979592,3.29
-0.29591836734693877,3.8979591836734695,3.21
-0.29591836734693877,3.989795918367347,3.13
-0.29591836734693877,4.081632653061225,3.0700000000000003
-0.29591836734693877,4.173469387755102,3.0100000000000002
-0.29591836734693877,4.26530612244898,2.93
-0.29591836734693877,4.357142857142858,2.87
-0.29591836734693877,4.448979591836735,2.81
-0.29591836734693877,4.540816326530613,2.75
-0.29591836734693877,4.63265306122449,2.71
-0.29591836734693877,4.724489795918368,2.65
-0.29591836734693877,4.816326530612245,2.59
-0.29591836734693877,4.908163265306123,2.5500000000000003
-0.29591836734693877,5.0,2.5100000000000002
-0.25510204081632654,0.5,59.93
-0.25510204081632654,0.5918367346938775,34.87
-0.25510204081632654,0.6836734693877551,149.99
-0.25510204081632654,0.7755102040816326,27.51
-0.25510204081632654,0.8673469387755102,30.71
-0.25510204081632654,0.9591836734693877,33.160000000000004
-0.25510204081632654,1.0510204081632653,37.14
-0.25510204081632654,1.1428571428571428,41.7
-0.25510204081632654,1.2346938775510203,47.79
-0.25510204081632654,1.3265306122448979,37.47
-0.25510204081632654,1.4183673469387754,45.49
-0.25510204081632654,1.5102040816326532,41.54
-0.25510204081632654,1.6020408163265307,40.09
-0.25510204081632654,1.6938775510204083,42.300000000000004
-0.25510204081632654,1.7857142857142858,46.51
-0.25510204081632654,1.8775510204081634,24.73
-0.25510204081632654,1.969387755102041,28.66
-0.25510204081632654,2.0612244897959187,149.99
-0.25510204081632654,2.1530612244897958,149.99
-0.25510204081632654,2.2448979591836737,19.5
-0.25510204081632654,2.336734693877551,8.6
-0.25510204081632654,2.428571428571429,9.51
-0.25510204081632654,2.5204081632653064,9.16
-0.25510204081632654,2.612244897959184,6.26
-0.25510204081632654,2.7040816326530615,4.63
-0.25510204081632654,2.795918367346939,4.49
-0.25510204081632654,2.8877551020408165,4.3500000000000005
-0.25510204081632654,2.979591836734694,4.21
-0.25510204081632654,3.0714285714285716,4.09
-0.25510204081632654,3.163265306122449,3.97
-0.25510204081632654,3.2551020408163267,3.85
-0.25510204081632654,3.3469387755102042,3.75
-0.25510204081632654,3.438775510204082,3.65
