delta,gamma,steady_time
0.1489795918367347,2.642857142857143,53.7
0.1489795918367347,2.683673469387755,53.050000000000004
0.1489795918367347,2.724489795918367,52.7
0.1489795918367347,2.7653061224489797,52.400000000000006
0.1489795918367347,2.8061224489795915,51.75
0.1489795918367347,2.8469387755102042,51.400000000000006
0.1489795918367347,2.887755102040816,51.050000000000004
0.1489795918367347,2.9285714285714284,50.75
0.1489795918367347,2.9693877551020407,50.45
0.1489795918367347,3.010204081632653,49.900000000000006
0.1489795918367347,3.0510204081632653,49.650000000000006
0.1489795918367347,3.091836734693877,49.45
0.1489795918367347,3.13265306122449,49.300000000000004
0.1489795918367347,3.1734693877551017,49.1
0.1489795918367347,3.2142857142857144,56.1
0.1489795918367347,3.2551020408163263,55.85
0.1489795918367347,3.2959183673469385,55.550000000000004
0.1489795918367347,3.336734693877551,54.85
0.1489795918367347,3.377551020408163,54.6
0.1489795918367347,3.4183673469387754,54.35
0.1489795918367347,3.4591836734693877,54.1
0.1489795918367347,3.5,53.85
0.15714285714285714,1.5,28.650000000000002
0.15714285714285714,1.5408163265306123,28.700000000000003
0.15714285714285714,1.5816326530612246,28.650000000000002
0.15714285714285714,1.6224489795918366,30.150000000000002
0.15714285714285714,1.663265306122449,30.1
0.15714285714285714,1.7040816326530612,29.950000000000003
0.15714285714285714,1.7448979591836735,31.5
0.15714285714285714,1.7857142857142856,31.35
0.15714285714285714,1.8265306122448979,32.65
0.15714285714285714,1.8673469387755102,32.15
0.15714285714285714,1.9081632653061225,31.400000000000002
0.15714285714285714,1.9489795918367347,35.95
0.15714285714285714,1.989795918367347,58.95
0.15714285714285714,2.0306122448979593,55.900000000000006
0.15714285714285714,2.071428571428571,54.2
0.15714285714285714,2.1122448979591835,52.800000000000004
0.15714285714285714,2.1530612244897958,51.6
0.15714285714285714,2.193877551020408,50.900000000000006
0.15714285714285714,2.2346938775510203,49.95
0.15714285714285714,2.2755102040816326,49.400000000000006
0.15714285714285714,2.316326530612245,48.550000000000004
0.15714285714285714,2.357142857142857,48.0
0.15714285714285714,2.3979591836734695,47.650000000000006
0.15714285714285714,2.4387755102040813,46.900000000000006
0.15714285714285714,2.479591836734694,55.0
0.15714285714285714,2.520408163265306,54.650000000000006
0.15714285714285714,2.561224489795918,54.300000000000004
0.15714285714285714,2.6020408163265305,53.900000000000006
0.15714285714285714,2.642857142857143,53.2
0.15714285714285714,2.683673469387755,52.900000000000006
0.15714285714285714,2.724489795918367,52.550000000000004
0.15714285714285714,2.7653061224489797,52.150000000000006
0.15714285714285714,2.8061224489795915,51.5
0.15714285714285714,2.8469387755102042,51.2
0.15714285714285714,2.887755102040816,50.900000000000006
