gamma,omega,steady_time
1.6224489795918366,3.163265306122449,30.57
1.6224489795918366,3.2551020408163267,33.67
1.6224489795918366,3.3469387755102042,25.21
1.6224489795918366,3.438775510204082,30.560000000000002
1.6224489795918366,3.5306122448979593,29.14
1.6224489795918366,3.622448979591837,21.900000000000002
1.6224489795918366,3.7142857142857144,21.330000000000002
1.6224489795918366,3.806122448979592,19.150000000000002
1.6224489795918366,3.8979591836734695,17.16
1.6224489795918366,3.989795918367347,22.080000000000002
1.6224489795918366,4.081632653061225,24.400000000000002
1.6224489795918366,4.173469387755102,21.94
1.6224489795918366,4.26530612244898,19.88
1.6224489795918366,4.357142857142858,19.85
1.6224489795918366,4.448979591836735,21.8
1.6224489795918366,4.540816326530613,21.66
1.6224489795918366,4.63265306122449,19.63
1.6224489795918366,4.724489795918368,19.6
1.6224489795918366,4.816326530612245,19.66
1.6224489795918366,4.908163265306123,19.71
1.6224489795918366,5.0,19.78
1.663265306122449,0.5,57.81
1.663265306122449,0.5918367346938775,149.99
1.663265306122449,0.6836734693877551,149.99
1.663265306122449,0.7755102040816326,25.62
1.663265306122449,0.8673469387755102,31.16
1.663265306122449,0.9591836734693877,23.96
1.663265306122449,1.0510204081632653,149.99
1.663265306122449,1.1428571428571428,39.550000000000004
1.663265306122449,1.2346938775510203,43.160000000000004
1.663265306122449,1.3265306122448979,41.12
1.663265306122449,1.4183673469387754,69.52
1.663265306122449,1.5102040816326532,42.51
1.663265306122449,1.6020408163265307,59.38
1.663265306122449,1.6938775510204083,60.88
1.663265306122449,1.7857142857142858,111.74000000000001
1.663265306122449,1.8775510204081634,149.99
1.663265306122449,1.969387755102041,149.99
1.663265306122449,2.0612244897959187,86.61
1.663265306122449,2.1530612244897958,149.99
1.663265306122449,2.2448979591836737,149.99
1.663265306122449,2.336734693877551,107.60000000000001
1.663265306122449,2.428571428571429,118.22
1.663265306122449,2.5204081632653064,149.99
1.663265306122449,2.612244897959184,24.650000000000002
1.663265306122449,2.7040816326530615,32.72
1.663265306122449,2.795918367346939,8.790000000000001
1.663265306122449,2.8877551020408165,149.99
1.663265306122449,2.979591836734694,149.99
1.663265306122449,3.0714285714285716,43.47
1.663265306122449,3.163265306122449,32.63
1.663265306122449,3.2551020408163267,18.3
1.663265306122449,3.3469387755102042,23.69
1.663265306122449,3.438775510204082,30.41
1.663265306122449,3.5306122448979593,29.35
